source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
30,1068,1081,0,column,16,3.7695114877393555e-24,1.8897458251010413e-11,9.189365379747017e-10,0.0,3.1098156090325147e-15,1.0153523355427296e-08,0.0,6.775625633476112e-12,5.595166068412715e-26,5.0666343001529515e-15,2.524426480503858e-15,2.7747579048648637e-33,9.090205388700441e-18,7.567011707354012e-44,4.52058884591186e-42,1.473650199015114e-35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1069,1082,0,column,16,2.3701184148921393e-26,1.1079061930027723e-12,3.661066241833488e-11,9.670881312711029e-37,5.603310881522369e-16,5.026900566917902e-07,0.0,2.5779078871579486e-10,1.447791982009531e-25,6.853463351987242e-17,1.986882176797404e-20,3.8014596931758934e-36,3.167620737243174e-15,0.0,9.659410395585943e-38,2.3745252209549066e-34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1070,1083,0,column,1,4.227861856661737e-37,0.9999961853027344,2.89422653866004e-14,1.639519203260036e-43,2.610063894423516e-20,3.2172343367165013e-07,0.0,1.19642617978088e-18,6.180421357698601e-26,3.281601514032212e-15,4.6069447975957924e-30,3.630486384523803e-32,1.7470899726923506e-10,0.0,1.2239603026411538e-29,2.0320220044357908e-20,1.7874471041068318e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1071,1084,0,column,16,1.5485518240868205e-31,0.0013510611606761813,4.0071920781592496e-10,2.382207389352189e-44,2.925780012811299e-18,8.02229838114954e-09,0.0,4.630744342762531e-17,3.7008290111057774e-35,1.8422396041387762e-13,1.9259620904691236e-23,3.613873495918519e-27,1.5217455117191858e-13,0.0,1.3649158803104022e-29,3.708051085013066e-27,0.9986504912376404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1072,1085,0,column,16,5.958362295837319e-34,0.26059406995773315,2.9611692872050233e-12,9.744585289209011e-35,5.258206471284036e-15,0.00013272708747535944,0.0,2.0651169576474393e-12,1.2643532253378316e-25,7.323378709012118e-11,2.7378681155321017e-22,4.179057667770375e-27,6.134787788880658e-09,0.0,9.421713954825332e-34,3.0614684085080565e-26,0.7392717599868774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1073,1086,0,column,10,6.551935366499772e-23,2.7667729025134744e-29,3.920859398931498e-06,0.0,4.3325363912813386e-13,6.428971784448309e-27,0.0,5.12331534543565e-20,0.0,1.2121630106303336e-21,0.9999961853027344,2.0764083175017647e-24,5.528136349295651e-29,4.0095050279257697e-38,0.0,7.407187318453099e-19,2.249228234219025e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1074,1087,0,column,2,7.03027285152193e-23,1.71716618886e-24,0.9999886155128479,0.0,2.0608773021457694e-10,6.401882149780785e-19,0.0,4.926683450849449e-14,0.0,5.419410047818485e-23,1.0524112440180033e-05,1.4790142091696604e-24,9.951093777519506e-25,0.0,0.0,7.852739883598662e-17,1.1771407459892913e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1075,1088,0,column,2,0.0,1.1294210509864408e-28,1.0,0.0,7.612884900254357e-08,2.3087876103029232e-24,0.0,4.940856427530071e-21,0.0,4.541823162876622e-30,2.0100098614608125e-14,3.110204062515815e-32,1.330125489386765e-25,0.0,2.997377415190784e-42,7.11430168870216e-18,2.0072603247513893e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1076,1089,0,column,15,0.0,4.492137699342991e-19,1.3802008581170755e-12,0.0,2.0120809941957066e-22,2.2237560142980126e-31,0.0,1.13949661149526e-19,0.0,4.31646422909839e-15,2.1693501526212493e-41,1.6551177742685985e-22,7.101037749679868e-27,0.0,3.9072234122356227e-38,1.0,6.540140736278078e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1077,1090,0,column,15,0.0,9.585425160696744e-20,1.3984471946334315e-13,0.0,7.167737304241493e-21,9.424127759006349e-33,0.0,2.3966817098126304e-21,0.0,3.293201418486623e-15,1.267464371632854e-38,1.0970669676246886e-22,9.901889549225037e-28,0.0,9.771077964442076e-37,1.0,1.3329803813055227e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1078,1091,0,column,15,0.0,7.42912037792942e-26,7.349983387758621e-14,0.0,1.2885665778455919e-19,2.4483259758331983e-38,0.0,1.7884323514238286e-25,0.0,1.2430862255863652e-24,1.6394483105617909e-34,3.241603244933857e-36,1.2002293233574809e-33,0.0,2.5391528173565685e-39,1.0,8.697351130362743e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1079,1092,0,column,2,1.1475683666286726e-31,3.1636848823153273e-22,0.9999961853027344,0.0,1.6026818761005757e-10,2.4970435855354e-23,0.0,3.1346850932619546e-22,0.0,2.683724320667428e-30,3.25395535583084e-06,1.164432478324132e-36,2.9916069296359954e-21,0.0,1.5152443483021574e-38,1.7217846703942996e-08,2.3330749614555333e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
