beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
73,73,580,3,1.8724906e-23,5.8054093e-13,0.0,1.0,1.1564709e-10,7.6678996e-11,1.5517301e-20,5.971099e-13,3.210788e-13,8.80633e-18,2.7800866e-11,1.1909875e-13,1.02464856e-14,3.0784828e-12,2.0771944e-15,1.3360037e-18,6.4646326e-19
74,74,75,2,9.19184e-28,2.1516989e-16,1.0,1.2225986e-20,3.0679246e-13,2.9569294e-13,1.7175121e-18,4.641948e-21,4.9238586e-13,2.3816337e-22,6.766959e-12,9.201158e-16,2.4672203e-21,1.12995e-15,1.3996615e-13,7.7583436e-19,1.4401981e-22
75,75,76,10,2.8450244e-20,3.0738473e-05,9.793294e-12,2.430453e-06,4.79839e-05,7.281616e-05,7.6036686e-12,1.2045997e-12,0.00027326445,5.984263e-11,0.99936694,5.355028e-07,1.410644e-10,8.781781e-09,0.0002049117,1.9848025e-09,1.8812226e-11
76,76,80,10,7.598602e-25,8.6232896e-11,3.1218e-41,1.3620764e-06,1.1588872e-09,5.922107e-11,1.9326897e-15,1.62851e-18,2.3376154e-10,3.762362e-14,1.0,4.469313e-14,1.858763e-15,5.1775545e-15,6.264185e-11,1.9138201e-15,1.8527033e-15
77,77,78,10,8.1082084e-29,6.381484e-16,0.0,2.4152291e-11,4.0748942e-14,3.1790453e-17,4.301282e-20,1.4113096e-20,3.086261e-16,1.02568856e-22,1.0,3.806171e-16,4.8000015e-20,9.3138006e-18,3.2200295e-17,2.3201685e-24,2.4407019e-20
78,78,79,10,5.825686e-28,8.953545e-14,0.0,1.5605979e-10,2.9408895e-12,6.481928e-16,1.2881292e-19,3.1182907e-19,1.0059077e-14,4.064147e-20,1.0,8.571031e-15,4.2093616e-19,1.6588142e-16,3.1528994e-16,8.782718e-24,3.1800016e-18
79,79,71,10,8.327582e-27,2.9892434e-15,0.0,1.6161466e-05,1.3578927e-13,1.404112e-15,2.5579874e-22,1.1342056e-19,6.104305e-15,8.037167e-21,0.99998474,1.8195392e-15,2.3330725e-17,5.7879945e-17,2.2669842e-16,1.0996648e-22,1.5430553e-17
80,80,81,10,1.1886505e-27,2.4012545e-16,6.8931e-41,1.0580495e-11,4.0617337e-14,4.2880207e-16,1.6870686e-20,3.7625456e-23,5.640902e-14,7.8466834e-19,1.0,6.8508194e-18,1.7851457e-19,3.6069464e-19,1.1542372e-16,1.3299969e-20,1.0887061e-18
81,81,82,10,1.3692354e-27,3.7375557e-15,0.0,2.3991593e-11,1.343297e-13,5.9036645e-16,9.1839165e-21,2.9282083e-22,6.25719e-14,7.371685e-15,1.0,1.9492147e-16,2.6982264e-17,2.2477865e-19,1.1967971e-16,2.6402852e-21,8.75352e-16
82,82,77,10,1.5610442e-29,5.0624396e-16,0.0,5.4407234e-12,1.3238281e-14,1.0680397e-18,4.0917567e-21,9.550741e-22,3.527983e-16,1.6983298e-20,1.0,4.019272e-17,1.758121e-18,3.5601135e-19,5.4901086e-18,5.4988528e-24,1.5153522e-18
83,83,84,10,1.5854714e-27,1.115844e-16,0.0,4.4395268e-10,7.228112e-15,1.1758614e-18,1.9892462e-22,6.741617e-20,3.700484e-16,2.8461054e-23,1.0,2.7463923e-15,5.8443487e-17,1.434078e-17,5.1499914e-17,9.455062e-25,6.4055316e-16
84,84,85,10,4.4724652e-23,4.640374e-13,0.0,0.0031383766,8.7038966e-11,2.8924248e-16,4.1836886e-17,4.4658347e-15,6.033188e-15,1.7557524e-21,0.9968616,1.0156336e-11,1.7140185e-16,3.705302e-15,1.4568298e-15,1.7350721e-21,7.936325e-13
85,85,561,3,5.128048e-27,3.7387535e-15,0.0,1.0,1.6172803e-10,1.4759766e-16,6.527856e-17,2.3863658e-12,1.4700637e-18,2.4491122e-22,1.8225725e-10,1.0249155e-12,1.254059e-18,1.131589e-15,1.0254681e-17,8.110179e-24,1.0013328e-14
86,86,87,2,4.1438427e-37,6.6177116e-26,1.0,1.8979088e-34,1.250741e-22,5.2505884e-23,6.3307634e-30,2.2267196e-30,2.279057e-21,6.9541435e-32,9.0989205e-24,3.5419934e-24,6.781207e-28,1.9982558e-25,2.4554144e-24,1.0908991e-29,5.5636118e-30
87,87,88,2,9.811372e-31,7.8255616e-16,1.0,8.488062e-22,1.5755331e-15,3.5876003e-14,8.3502574e-21,1.0756132e-23,1.791417e-13,4.986873e-20,5.9493355e-11,5.4272107e-15,1.9976675e-19,1.6825658e-17,1.4465394e-13,3.112441e-21,3.127273e-19
88,88,92,10,1.4994345e-27,5.201749e-14,4.283977e-26,7.982918e-09,2.240038e-13,3.1282716e-14,7.9443697e-16,5.3381636e-21,4.2880786e-12,1.8118688e-18,1.0,1.0118587e-12,2.687133e-17,2.9286416e-16,3.3184152e-12,7.025033e-19,1.1552604e-14
