beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
48,-0.55653745,-0.025465364,-0.31644183,-1.2465674,-1.0914034,0.08268343,-0.5817359,0.25710696,-0.35992038,0.2557214,-1.1342306,-2.1139615,0.85875624,-0.05216127,-1.0266196,-0.9083726,-1.5916948,1.2667527,2.2897916,-0.50940865,-0.121050395,0.3143563,1.8109558,-0.3725638,0.737059,0.9081358,-0.17699686,-0.99816847,1.540197,-0.3653506,1.3211968,-1.2347172
49,0.47773537,-0.26275238,-1.2162868,-0.46613595,-1.5440955,-1.408772,-0.3425622,0.4544258,-0.045462027,0.8581427,-1.5008636,-1.446069,1.3055674,1.1797061,-1.0902102,-0.90391153,-0.14404736,2.1503334,-1.0850948,0.37228325,-0.36436063,0.4426296,-0.38172358,0.7926089,1.7659882,0.7542439,-0.47226492,0.30151275,0.55285114,-1.0483562,0.9501295,-1.6564978
50,0.62224025,-0.5814108,0.718948,1.5512836,0.64610654,-0.029859029,0.36872724,1.4849801,-0.6365409,-1.4318428,-0.17189398,-1.2792064,-1.482415,1.650535,-1.1593162,-0.60583025,-1.3691659,2.3306136,-2.1087708,0.1647774,0.28498563,-0.36259034,0.43872708,1.0123241,0.1802444,0.38293216,0.46964002,-0.13572688,-1.2537311,0.21888724,-0.08062067,-0.74543124
51,0.66739017,-0.38570833,-1.3018042,1.4013617,-0.58972406,-1.4262446,1.3326786,-1.8238446,-0.41864944,-1.0948511,0.5590022,-0.78702855,-0.6197176,0.2543008,-1.1945689,-0.43624645,0.97461736,1.1203431,0.13180076,0.1359803,-0.9228353,1.7471216,-0.5670148,-0.681569,1.0192337,-1.7866423,-0.81671554,-1.3516619,-1.4132326,-0.19309652,0.15778975,-0.21560502
52,0.65467995,-0.25670445,-1.31448,1.4448451,-0.52042615,-1.2684082,1.3015773,-1.7999593,-0.3690143,-1.0047908,0.75791734,-0.8262302,-0.5468154,0.28971934,-1.3377256,-0.3540556,1.0012828,1.2378861,0.090366006,0.3472092,-0.90329164,1.6366469,-0.623216,-0.5540504,0.9612913,-1.8502579,-0.7303068,-1.3951732,-1.4764214,-0.14723249,0.26420438,-0.23376127
53,0.19789208,-1.1514767,-1.7242559,1.2584097,-1.3972275,-2.1031857,-0.26292357,0.23932989,-0.6079299,0.454199,-0.033342876,-0.9496603,1.4962907,1.3796301,-1.6264422,-0.25387236,-0.21278207,0.9974288,-0.50038534,0.5679589,0.5339182,0.5482799,-0.6330307,-0.043513782,-0.041308604,0.55419785,-1.6372421,-0.31580418,-0.8234939,-0.43159896,1.6121466,-1.8592081
54,1.8583028,-0.3485993,0.24169014,-0.037023205,0.5853938,-0.5226743,-0.8908605,1.8760035,0.32320976,2.2058578,-0.011963287,-0.24471311,-0.873707,0.15189235,0.11705296,-1.4880669,-0.65260446,1.8633763,0.2849721,-0.64039975,0.4470136,0.25397906,-1.4032472,-0.1177046,1.1852776,0.24808368,-0.63678885,-1.1483905,-1.4717476,-1.1846266,0.30354878,1.3303654
55,1.9271684,-0.32933527,0.52493507,-0.36775884,0.45348904,-0.5447035,-0.85900754,1.9437329,0.20914514,2.2267559,-0.10284023,-0.15159053,-0.57641715,0.1562946,-0.015793545,-1.6817791,-0.81930536,1.7554469,0.23114456,-0.69438773,0.4912239,0.2237092,-1.3759886,-0.28846917,0.97829884,0.39292786,-0.7023887,-1.187768,-1.2973512,-1.1902642,-0.038508326,1.3085011
56,-0.8271574,-0.5084555,-1.7564348,-0.060661055,-0.37553856,-0.6767511,1.4733331,-0.64371926,-0.025017053,-0.28639027,1.133659,-0.7514617,0.49493387,-0.08054186,-0.0956997,0.47537503,-2.258694,-0.82855356,0.73643154,-0.31958848,-0.81980264,0.48568302,1.8013917,-1.96726,0.28739715,-0.3100141,-1.9894099,-0.06296885,-1.2080756,1.5977713,0.53381836,0.060258817
57,-0.76255554,-0.8707009,-0.14351562,-2.132277,-1.1776829,0.3636845,0.9199912,0.79355645,0.33728522,0.97345084,-1.099153,-1.0071458,0.25951293,0.46875522,0.72890186,-2.3277717,-1.4768747,-0.7888525,0.4899754,-0.6302957,0.843705,-0.550129,1.0166758,1.4062384,0.33455086,-1.6538169,0.13031563,0.87872994,-0.62301475,0.54899,-0.28204638,1.3036978
58,0.4851879,-0.09573778,-1.155609,0.7641471,0.8410758,-0.1631077,-0.71391565,2.0581648,1.4717607,1.7210684,1.2304665,0.089145504,1.1990976,0.62331617,1.2106702,-1.1052394,-1.5305579,0.89825696,-0.010880571,-0.24941184,0.48920587,0.9765702,0.52879435,-1.5615695,-0.3116609,0.69792783,-1.0199043,-1.1415364,-1.4851221,0.016989198,-0.10228293,-1.068924
59,1.9396231,-0.059621453,-2.692843,1.1941549,0.24734002,-0.59034055,-1.0465226,1.7431028,0.051616248,1.0480185,1.0234071,0.8631679,0.51798993,1.4808719,0.44533554,-0.1779403,-1.3260344,0.20002382,-0.7796856,-0.5096074,-0.4525901,0.6189279,0.5500819,-0.19568343,0.2576293,0.72088176,-0.3454623,0.23614107,0.057778023,-1.3236376,-0.58847463,-1.995079
60,2.1884353,0.5013769,-1.3375802,1.3279006,1.8785446,-0.046859,-0.5968868,1.2149327,0.85049766,0.114721835,1.1859279,0.5005298,0.76567686,0.9347676,0.46287957,-0.43552205,-0.7830448,1.3720279,-1.1043186,-0.8321015,0.57901424,0.7818361,0.5050216,0.25626007,2.023383,-0.020509265,-0.40659952,-0.5998412,-0.3923511,-0.41960642,-0.79986876,-1.6794107
61,0.88097113,-1.0030257,-1.3063698,0.650879,-1.0268012,-1.4231232,0.44632292,0.2002993,-0.3727295,0.41243565,0.5436375,-1.03516,1.2890432,-0.6872138,0.6331459,-0.7919672,-0.016338525,1.3463982,-0.02407795,0.08661743,1.1397011,-0.7700959,0.13347748,1.4890975,0.7538575,-2.111341,2.2179582,-1.0691365,1.1952703,0.7373084,-0.94189435,-0.56384254
62,-0.3728125,-0.8593615,-2.175319,1.3067961,-0.39251557,-1.4069792,0.80270857,0.06796031,-0.78131336,0.2342105,0.28098208,-1.3990006,0.03040735,1.1681942,-0.77576536,-0.406517,-0.7819664,1.4712572,-0.7367952,1.3374301,0.97115666,-0.2945689,-0.39386886,1.5866804,-0.0924455,-2.0863523,0.72591054,-1.2907692,-0.013311956,0.718224,-0.048068814,-1.3748376
63,1.3997338,0.0017583264,-2.4525025,0.89087903,-0.1972323,-0.37018988,-1.3824258,1.5958973,-0.38833523,2.0033963,1.2064723,0.9650743,0.7487398,0.50744146,-0.9107752,0.46928167,-0.94400865,0.051220078,0.45805147,-0.60470873,0.61689484,0.2645247,0.506067,-0.6256967,0.2509831,1.049415,-0.43618256,0.13245033,0.2969013,-1.8478643,-0.44509047,-1.8156879
64,-0.74776983,1.2173978,-1.6396306,0.2173528,1.2371795,-0.7567841,-0.6325974,0.6011057,-0.20273823,-0.34241238,1.3582207,0.6457076,0.21810594,-0.5360018,-0.16467379,1.3476286,1.0134436,0.7587034,0.1236135,0.7253816,0.80773276,1.8331027,0.44846654,-0.70920485,-0.930251,0.8558697,-2.1490061,0.63881934,-1.279867,-0.64717805,1.4107122,-1.4554335
