beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
55,0.77223915,-1.2076582,-0.29200932,0.2095463,1.3231556,-1.0347368,2.1923628,-1.4494045,-0.2650512,0.33646843,-0.58955026,0.90164536,-0.9923565,0.05944647,0.50701964,-0.036920518,-0.025513066,-0.28796098,2.7874937,-1.4397268,-1.1941214,0.67465216,0.73556525,-1.0100642,-0.90995735,0.52101684,0.3370409,1.0399066,1.5312804,0.04227022,-0.14184305,0.5222878
56,1.7041494,-0.34351882,-0.7873983,-0.061634127,1.7785536,-1.1617965,1.1918919,0.019731563,0.24474077,-0.34314698,-1.032043,1.4234506,-0.38344014,-0.6561055,0.019574068,-1.6617994,0.81978416,-0.8208555,0.6987444,-1.4606928,0.5317139,1.3738455,0.21685432,-0.6117594,0.62927717,1.0439335,1.2020953,1.4866004,1.59534,-0.0705962,0.5924502,0.73923254
57,1.5282983,-0.4622321,-0.6177052,0.087648846,1.9072052,-1.3208379,1.4026345,-0.14629872,0.1993655,-0.13073905,-1.0098803,1.3948919,-0.4720457,-0.6859081,0.047879077,-1.4096453,0.5770847,-0.8642682,0.897039,-1.4416997,0.36898518,1.2838986,0.2423851,-0.57806087,0.78617376,0.9722992,1.3042746,1.526807,1.7116599,0.14344305,0.5273852,0.8841997
58,1.1670735,-0.7041743,-0.75761837,0.069324,1.8457985,-1.3783532,1.8455108,-0.8047907,-0.20613825,-0.050242364,-1.165408,1.3793837,-0.5444476,-0.57061374,0.39960346,-0.7020384,0.32836995,-0.9694053,1.7295558,-1.4954437,-0.13311033,1.0481777,0.5699058,-0.5047409,-0.039253794,0.7477287,1.1420879,1.2504437,1.8706127,0.17484337,0.3039089,0.6871813
59,-0.7550214,0.2896234,-0.43936163,-2.2966812,-0.30633935,-0.3740943,0.28346834,2.0712276,1.6436881,0.5673119,0.51078457,1.4080443,-1.5889605,-0.6343795,-0.32015282,-0.47569326,-0.65886337,1.2021983,-1.0902572,0.11352646,0.024377733,-0.78480905,-0.9310693,1.2517934,-0.4721751,0.25749373,-1.598994,0.69414014,0.7011656,1.153983,0.8246494,-0.39879382
60,-0.73746914,0.31777084,-0.4588509,-2.3084009,-0.24801485,-0.36464587,0.38210815,2.0417452,1.6453278,0.6571732,0.5752231,1.4605867,-1.6126958,-0.5900103,-0.28142715,-0.50690365,-0.6689781,1.1478953,-1.1243513,0.12265845,0.095695116,-0.75548285,-0.9890692,1.1210101,-0.4627907,0.21437305,-1.6281632,0.707529,0.68477726,1.0948669,0.84074163,-0.42202178
61,-0.74292815,0.38386655,-0.4194376,-2.3492415,-0.18415903,-0.3799396,0.4609335,2.007791,1.5867301,0.69523996,0.60632473,1.5640444,-1.615672,-0.57152086,-0.2968226,-0.5927404,-0.6275066,1.0981332,-1.0748869,0.119679786,0.118627466,-0.7045097,-0.98508626,1.0538775,-0.49753848,0.22322391,-1.6390013,0.7132486,0.6642294,1.0628517,0.8857146,-0.4025425
62,-0.83565396,-0.7523078,-0.80881375,0.077654086,-1.185322,0.2446243,-0.19451378,-0.40425095,0.14820255,-0.9621273,-1.0002456,-1.3964376,-0.82430786,-0.1438823,0.99899125,1.5034256,-0.68258125,0.745842,-1.1165382,0.33678466,-0.6084364,-1.4481393,1.4184085,2.7893348,0.94751674,-0.6022537,0.23870909,0.3755285,0.4359716,0.6529269,-1.3528059,0.7897225
63,-0.8627884,-0.82674325,-1.0497599,-0.6342487,-1.6436337,0.13012137,-0.09018247,-0.20134097,0.1667878,-1.0003668,-1.4383072,-0.66239023,-0.77388304,-0.22212155,0.19467734,1.6013937,-0.4937288,0.50184804,-0.97057444,-0.091191106,-0.43289238,-1.4719013,0.8976003,3.0170364,0.53548235,-0.24815798,0.058636993,0.22215572,0.61389595,0.9130405,-1.4302698,0.34602267
64,-0.30900896,-0.4300512,-1.0656673,0.05395754,-0.31042007,-0.065390706,1.1778376,-0.33337176,0.22244975,-0.45097253,0.48858067,-2.0436466,-1.2070427,-0.6351612,1.2486249,0.14559238,0.18113141,0.3653318,-1.5439826,0.72526515,-1.3921136,-1.5423213,1.8139151,1.9410741,1.3558315,-0.06518995,1.2469248,0.24561667,0.7918778,0.37317854,-1.273379,0.35613692
