beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1155,925,926,11,6.4469685e-21,0.0,5.7611716e-22,5.4465584e-16,0.011267678,0.0,1.3052775e-13,3.7933563e-09,4.8820984e-15,2.0438781e-27,2.6348568e-10,0.84316444,1.0947528e-11,3.971122e-20,0.14556848,5.0451675e-23,4.543336e-13,7.1890156e-13,1.3523568e-16
1156,926,927,11,1.7132496e-21,0.0,7.870579e-18,1.3637732e-11,4.31984e-08,1.4066314e-38,1.5756015e-12,4.1017253e-07,4.1704993e-15,4.277398e-25,3.5452474e-11,0.8405696,0.00016798255,1.6337306e-18,0.15926029,1.8049846e-25,7.678306e-07,2.4972632e-15,9.617057e-15
1157,927,928,11,1.0399217e-17,0.0,5.5164547e-18,8.102272e-14,1.0383523e-09,9.3422e-32,2.338101e-14,1.8763118e-05,7.796033e-16,2.4640808e-27,5.1341775e-11,0.9996987,5.266418e-07,6.318363e-15,0.0002803526,9.682239e-32,1.1609762e-08,4.6626377e-15,4.6047316e-15
1158,928,929,11,8.435668e-23,1.93e-43,8.047722e-21,1.3920822e-12,1.0520306e-11,1.11995e-40,1.1239657e-15,3.2558753e-09,1.5966593e-17,3.811885e-29,1.9587511e-13,1.0,3.3777553e-10,7.2319264e-20,4.525982e-07,8.307368e-28,6.58743e-13,1.7558555e-18,3.2493512e-15
1159,929,87,14,2.0494955e-16,0.0,5.2077664e-21,3.7313217e-12,3.246411e-10,4.088042e-37,4.2966695e-07,8.536155e-06,3.43886e-11,3.693966e-17,5.3248284e-11,0.15114282,1.4600473e-05,1.00162744e-13,0.84883475,6.080517e-34,2.3876769e-12,1.0600599e-10,1.0595818e-12
1160,87,294,6,2.728689e-17,0.0,2.2053263e-28,2.4337227e-10,1.3523321e-07,1e-45,0.9992602,5.8905885e-18,5.879466e-14,3.00904e-40,1.3117085e-10,5.5956537e-12,1.3383378e-06,1.2923216e-13,0.0007394342,0.0,2.8310052e-12,1.8248771e-08,1.378557e-15
1161,294,930,4,9.93089e-16,0.0,4.3358515e-17,9.759528e-15,0.9998054,2.55974e-40,0.00013685883,2.9938164e-17,2.2033502e-13,0.0,3.6950172e-05,1.8970537e-05,4.710627e-13,2.9902287e-12,3.4043936e-08,0.0,1.4831369e-11,3.333851e-08,3.0330936e-11
1162,930,931,10,2.1308996e-11,0.0,2.98551e-27,8.5013086e-16,1.2149407e-06,1.3181103e-23,5.5785723e-08,1.16906826e-17,1.0549537e-08,1.9149759e-28,0.9998665,2.713668e-10,3.7427521e-06,1.7328586e-11,1.0649914e-05,0.0,0.00011950662,4.9234295e-08,5.6443724e-16
1163,931,932,10,2.0613491e-10,0.0,1.4291851e-24,2.7273675e-17,7.6074556e-08,2.2471034e-24,9.955171e-07,2.499638e-14,9.185426e-13,4.86366e-22,0.99977106,6.0066884e-07,3.9894483e-05,6.644228e-09,0.00013133348,0.0,5.7276502e-05,2.1305937e-08,2.4498112e-16
1164,932,933,14,4.403516e-14,0.0,5.3156225e-23,3.1642964e-17,6.659386e-06,5.1150875e-30,1.0750507e-09,4.8920574e-06,7.8195464e-20,2.446042e-13,0.00041620198,0.0059270584,1.8813576e-05,1.07957646e-07,0.993627,9.40778e-34,1.9761058e-10,5.8739907e-08,2.2655954e-21
1165,933,455,17,1.3520649e-13,0.0,2.9361472e-31,5.798999e-10,4.953704e-08,2.8111395e-27,1.5377831e-11,1.756925e-06,1.7939124e-10,2.4959288e-31,0.0012856604,3.719027e-06,2.3022994e-07,0.0034376145,0.024011526,4.294862e-39,3.9070964e-12,0.9712577,5.3117743e-22
1166,455,1021,17,5.1222394e-13,0.0,2.7150872e-32,1.0301265e-16,1.497459e-09,3.7361025e-07,1.8979021e-11,3.2440586e-10,6.6864285e-11,2.2582137e-32,0.0004925581,2.7186254e-14,6.7378866e-13,0.00070844806,1.6999088e-08,0.0,6.867389e-16,0.9987991,8.045462e-18
1167,934,162,10,2.0110847e-13,0.0,4.647105e-13,2.7192823e-19,9.030334e-05,3.6722485e-30,8.312647e-09,9.63983e-15,6.6828474e-14,0.0,0.9999008,8.0878756e-08,1.06961315e-11,3.8975625e-08,3.7015323e-14,0.0,5.9544947e-13,9.806932e-06,3.451004e-10
1168,935,949,10,6.6790764e-14,0.0,4.955561e-21,9.9682305e-17,0.03448544,4.968532e-34,0.008142131,1.3819214e-15,7.682945e-12,4.276636e-38,0.9465859,6.747546e-09,9.482324e-12,5.1393365e-09,1.0633284e-10,0.0,2.9682506e-11,0.010763965,2.2490374e-05
1169,936,252,10,7.4998355e-15,0.0,3.443173e-29,7.197138e-13,2.2241542e-09,5.5826e-41,2.5877957e-06,7.831718e-07,1.099046e-11,5.125162e-39,0.9982468,1.7403421e-06,3.0023163e-08,2.9126224e-07,1.817323e-11,0.0,4.422704e-08,0.0017493503,3.357257e-08
1170,931,945,4,1.4908207e-14,0.0,6.653541e-30,6.2185693e-18,0.52067274,7.351176e-25,0.0011301982,1.1154725e-18,2.3106697e-12,7.0566835e-31,0.47779068,1.8481357e-08,1.7527509e-10,1.7255507e-10,0.00038741642,0.0,2.5908128e-10,2.0744334e-05,1.1949756e-18
1171,87,282,14,1.817048e-16,0.0,1.2695545e-31,3.345131e-12,8.3134154e-07,5.26665e-40,0.0016664997,1.1729725e-17,9.180362e-17,2.9475005e-26,8.9171764e-10,1.0460756e-12,9.130357e-08,9.018344e-15,0.9983344,1.4955131e-38,5.3505404e-13,2.6923755e-10,3.301274e-24
1172,99,270,6,5.311423e-17,0.0,8.8293e-19,1.8898424e-08,1.54609e-09,2.360936e-38,0.9337609,7.466083e-18,2.2295681e-14,1.8504115e-26,3.055753e-10,1.3957512e-12,0.0012317846,7.597489e-13,0.0650072,0.0,1.5771848e-10,4.3484783e-07,4.041977e-12
1173,937,923,17,5.516873e-19,0.0,3.629e-41,1.1467174e-12,7.826739e-05,2.838365e-30,9.552584e-10,7.6258164e-16,1.2461338e-10,1.7634744e-33,1.0861248e-05,7.108569e-13,1.1648439e-09,8.595543e-10,1.2050446e-06,0.0,6.314751e-14,0.9999084,3.2829353e-26
1174,937,938,11,1.04194995e-11,0.0,2.2707762e-30,2.736785e-20,0.36939254,3.2231912e-30,0.0006304674,1.4636608e-05,0.0016727988,4.177029e-29,3.9928702e-07,0.6274692,5.1878407e-13,1.5914149e-13,0.00081956945,1.54112e-40,7.9042917e-07,2.0883487e-08,2.7286441e-12
1175,938,939,4,2.0442202e-13,0.0,9.0636264e-30,2.6435216e-20,0.82087547,8.757161e-31,1.5336445e-07,3.1470213e-10,6.5979777e-10,2.7909483e-32,8.1907126e-07,0.17912127,1.0202475e-17,1.7092728e-15,3.736803e-06,3.226e-41,2.925757e-11,4.03859e-10,4.0977093e-13
1176,939,403,4,6.1105786e-13,0.0,5.465217e-27,8.6954735e-17,0.99323285,0.0,2.0813192e-07,1.3018656e-14,1.049358e-17,6.072226e-32,1.842413e-08,0.0007897704,1.40028285e-14,5.850093e-13,0.0059772604,5.0818413e-33,1.6485665e-12,5.0403774e-08,3.5213054e-21
1177,403,940,10,4.431512e-19,0.0,4.8184953e-27,4.389196e-13,0.30873206,4.488838e-39,0.00035949683,1.354512e-13,1.6992383e-11,4.0202603e-36,0.6908774,2.308986e-05,1.583505e-07,9.041225e-13,5.3419676e-08,0.0,1.2028749e-09,8.450105e-06,2.442609e-07
1178,940,920,17,5.207923e-07,0.0,4.6680012e-27,1.6017556e-14,0.0012795543,2.28e-43,2.2970546e-06,1.9841811e-17,1.2864507e-10,1.5329525e-17,6.0345308e-05,1.39878695e-08,1.8452012e-05,6.907669e-08,0.02404122,0.0,1.2634251e-06,0.9745981,8.549304e-25
1179,920,919,17,0.0028095655,0.0,2.4162571e-33,7.598509e-19,2.1152376e-10,2.898963e-39,2.037329e-07,1.8165403e-18,1.16665705e-11,4.344097e-39,8.118407e-10,2.3796727e-14,1.664255e-13,1.7256071e-13,2.6157646e-13,0.0,6.3983957e-10,0.9971886,2.0377622e-24
1180,937,941,6,1.0814198e-13,0.0,1.03531e-40,4.9090386e-18,0.00015416769,4.3240887e-18,0.97960013,2.2114446e-11,0.016293436,2.783535e-26,0.0016483981,1.841615e-12,7.882864e-12,3.7614018e-06,1.2198546e-05,0.0,1.3294107e-09,0.0022894996,3.2309913e-18
1181,941,270,17,1.4631225e-16,0.0,1.3236764e-33,1.1432787e-14,0.0048578843,3.3307125e-37,3.598067e-05,1.1415469e-17,5.555008e-13,2.0532113e-32,0.055983942,1.1115813e-11,1.7834473e-08,1.3773319e-08,2.2352062e-06,0.0,3.0994592e-11,0.9391192,6.8315713e-22
1182,270,942,11,1.1337195e-22,0.0,1.08587534e-29,5.93983e-16,0.0014379667,1e-45,1.3656407e-13,7.2633743e-09,1.8666322e-19,4.2948727e-27,1.865903e-07,0.9985629,3.9697426e-13,2.2700757e-14,2.3067915e-07,2.154174e-28,4.976092e-15,8.162059e-12,1.5616502e-16
1183,942,943,11,2.9233685e-19,0.0,1.3386815e-26,1.0377817e-17,0.0058654295,6.6e-44,2.2745215e-15,2.0141092e-06,1.3296234e-17,6.6160843e-22,1.6728875e-11,0.99210054,8.139003e-16,1.5645139e-14,0.0020335983,1.6323019e-13,1.1748423e-13,3.6541421e-13,2.7648682e-18
1184,943,282,11,2.354189e-17,0.0,1.264788e-24,5.240452e-20,0.0002757094,4.83e-43,4.3660317e-14,1.9448172e-09,1.1496796e-17,1.3014796e-27,4.0763542e-11,0.999264,1.05495114e-13,5.87965e-12,0.00046121055,0.0,7.8724835e-15,1.7925355e-12,4.1637104e-23
1185,282,944,10,5.396607e-18,0.0,3.1383419e-25,2.1819263e-16,0.3901057,2.3239492e-10,1.699868e-10,4.192048e-15,3.4717444e-12,3.262765e-23,0.60989255,1.3488544e-07,2.971373e-14,1.4542887e-12,1.8696652e-07,1e-45,1.16222025e-10,1.0167006e-09,2.7340294e-13
1186,944,945,4,9.736814e-21,0.0,3.0478713e-25,2.5957625e-15,0.7087654,2.136066e-20,4.4134496e-09,2.2575938e-17,4.8180076e-16,5.474553e-24,0.2888984,3.5898202e-09,9.125439e-10,2.2214277e-13,0.0023367142,1.0831865e-36,2.0862355e-11,1.0364893e-07,3.1468283e-18
