source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43
1346,593,0594,1,girder,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113959839457948e-09,0.00016543817764613777,2.1806055157630282e-14,8.280615929926212e-17,1.4796123215532475e-09,1.7340478106909856e-27,0.9998360276222229,0.0,2.197434768869133e-11,2.751395777335873e-14,9.313343645509276e-17,2.972825707391741e-13,1.0894871328166823e-18,0.0,4.175811549470617e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1347,593,0594,1,girder,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.113959839457948e-09,0.00016543817764613777,2.1806055157630282e-14,8.280615929926212e-17,1.4796123215532475e-09,1.7340478106909856e-27,0.9998360276222229,0.0,2.197434768869133e-11,2.751395777335873e-14,9.313343645509276e-17,2.972825707391741e-13,1.0894871328166823e-18,0.0,4.175811549470617e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1348,598,0599,1,girder,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221442279599529e-10,0.9998512864112854,1.519959288640016e-12,1.7460129428560492e-15,1.7715454103672812e-10,1.2648603642922755e-24,6.615983920710278e-07,3.435732255476036e-30,0.0001488311099819839,5.358593462210337e-26,9.449098404765155e-13,6.71199884951304e-14,1.6375086575874838e-14,1.4510799039187347e-35,9.99954263848342e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,600,0601,1,girder,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.296213630749441e-25,6.51152731734328e-06,3.996207282265277e-22,7.785217803757405e-08,3.08609515720093e-09,0.0,5.217496573672875e-11,3.097883204573449e-36,3.9669875999577553e-13,3.707337021063909e-23,3.4877944282696305e-11,2.633265242142635e-13,0.0028574808966368437,0.9971354007720947,4.0532491080073085e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,601,0602,1,girder,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322006532022968e-10,0.9997062683105469,2.0160718580686243e-11,4.709876932906809e-11,4.880653606958996e-12,0.0,2.640830643940717e-05,3.630203801679871e-41,6.789917961214087e-09,3.8649828005902394e-19,4.807978211477735e-18,0.00026819383492693305,2.8850050820539153e-11,5.44647775501967e-15,1.0562728068435636e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,601,0602,1,girder,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322006532022968e-10,0.9997062683105469,2.0160718580686243e-11,4.709876932906809e-11,4.880653606958996e-12,0.0,2.640830643940717e-05,3.630203801679871e-41,6.789917961214087e-09,3.8649828005902394e-19,4.807978211477735e-18,0.00026819383492693305,2.8850050820539153e-11,5.44647775501967e-15,1.0562728068435636e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1352,601,0602,1,girder,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322006532022968e-10,0.9997062683105469,2.0160718580686243e-11,4.709876932906809e-11,4.880653606958996e-12,0.0,2.640830643940717e-05,3.630203801679871e-41,6.789917961214087e-09,3.8649828005902394e-19,4.807978211477735e-18,0.00026819383492693305,2.8850050820539153e-11,5.44647775501967e-15,1.0562728068435636e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1353,601,0602,1,girder,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322006532022968e-10,0.9997062683105469,2.0160718580686243e-11,4.709876932906809e-11,4.880653606958996e-12,0.0,2.640830643940717e-05,3.630203801679871e-41,6.789917961214087e-09,3.8649828005902394e-19,4.807978211477735e-18,0.00026819383492693305,2.8850050820539153e-11,5.44647775501967e-15,1.0562728068435636e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1354,605,0606,1,girder,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530787383927876e-14,0.0015784783754497766,1.5363160893462027e-20,8.305858778534514e-10,8.077080337898224e-09,0.0,2.2460022591985762e-05,0.0,1.4058513901626934e-11,0.9983991384506226,4.3803554478537494e-17,4.135326747700674e-09,2.79417607366248e-17,1.0595888022718871e-29,2.4396513434878663e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1355,605,0606,1,girder,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.530787383927876e-14,0.0015784783754497766,1.5363160893462027e-20,8.305858778534514e-10,8.077080337898224e-09,0.0,2.2460022591985762e-05,0.0,1.4058513901626934e-11,0.9983991384506226,4.3803554478537494e-17,4.135326747700674e-09,2.79417607366248e-17,1.0595888022718871e-29,2.4396513434878663e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
